entitlement_id,person_id,acct_id,platform,role_id,role_name,is_admin_role,permission_id,resource,action,privilege_level,is_sensitive,granted_at
ENT-000022,ID-0037,acct-okt-ID-0037-f2c6d4,okta,role-okt-001,Org Admin,True,perm-okt-01-00,mfa-config,read,read,False,2026-05-31T12:44:11.753005
ENT-000023,ID-0038,acct-git-ID-0038-a5e4c2,github,role-git-000,Owner,True,perm-git-04-02,settings,create,write,False,2026-01-25T12:44:11.753005
ENT-000024,ID-0038,acct-git-ID-0038-a5e4c2,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2026-01-25T12:44:11.753005
ENT-000025,ID-0038,acct-git-ID-0038-a5e4c2,github,role-git-000,Owner,True,perm-git-01-02,repos:public,create,write,False,2026-01-25T12:44:11.753005
ENT-000026,ID-0038,acct-git-ID-0038-a5e4c2,github,role-git-000,Owner,True,perm-git-01-05,repos:public,execute,write,False,2026-01-25T12:44:11.753005
ENT-000027,ID-0038,acct-git-ID-0038-a5e4c2,github,role-git-000,Owner,True,perm-git-02-02,actions,create,write,False,2026-01-25T12:44:11.753005
ENT-000028,ID-0038,acct-aws-ID-0038-75f1c1,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-00-02,s3://prod-data,create,write,False,2026-01-26T12:44:11.753005
ENT-000029,ID-0038,acct-aws-ID-0038-75f1c1,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-02-00,iam:*,read,read,False,2026-01-26T12:44:11.753005
ENT-000030,ID-0038,acct-aws-ID-0038-75f1c1,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-03-01,rds:prod,write,write,False,2026-01-26T12:44:11.753005
ENT-000031,ID-0038,acct-act-ID-0038-070d7b,active_directory,role-act-002,Schema Admin,True,perm-act-01-02,file-server,create,write,False,2025-10-16T12:44:11.753005
ENT-000032,ID-0038,acct-act-ID-0038-070d7b,active_directory,role-act-002,Schema Admin,True,perm-act-02-04,exchange,admin,admin,True,2025-10-16T12:44:11.753005
ENT-000033,ID-0038,acct-act-ID-0038-070d7b,active_directory,role-act-002,Schema Admin,True,perm-act-02-01,exchange,write,write,False,2025-10-16T12:44:11.753005
ENT-000034,ID-0038,acct-act-ID-0038-070d7b,active_directory,role-act-002,Schema Admin,True,perm-act-00-05,domain-controller,execute,write,False,2025-10-16T12:44:11.753005
ENT-000035,ID-0038,acct-okt-ID-0038-52e59b,okta,role-okt-002,App Admin,True,perm-okt-02-01,user-management,write,write,False,2026-01-31T12:44:11.753005
ENT-000036,ID-0038,acct-okt-ID-0038-52e59b,okta,role-okt-002,App Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2026-01-31T12:44:11.753005
ENT-000037,ID-0039,acct-aws-ID-0039-7e877d,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-00-02,s3://prod-data,create,write,False,2025-12-10T12:44:11.753005
ENT-000038,ID-0039,acct-aws-ID-0039-7e877d,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-02-00,iam:*,read,read,False,2025-12-10T12:44:11.753005
ENT-000039,ID-0039,acct-aws-ID-0039-7e877d,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-03-01,rds:prod,write,write,False,2025-12-10T12:44:11.753005
ENT-000040,ID-0039,acct-git-ID-0039-f7eb0d,github,role-git-001,Admin,True,perm-git-02-04,actions,admin,admin,True,2025-10-21T12:44:11.753005
ENT-000041,ID-0039,acct-git-ID-0039-f7eb0d,github,role-git-001,Admin,True,perm-git-03-00,packages,read,read,False,2025-10-21T12:44:11.753005
ENT-000042,ID-0039,acct-git-ID-0039-f7eb0d,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2025-10-21T12:44:11.753005
ENT-000043,ID-0040,acct-act-ID-0040-c15c82,active_directory,role-act-000,Domain Admin,True,perm-act-01-01,file-server,write,write,False,2026-05-26T12:44:11.753005
ENT-000044,ID-0040,acct-sal-ID-0040-520855,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-03,setup,delete,admin,True,2026-06-11T12:44:11.753005
ENT-000045,ID-0040,acct-sal-ID-0040-520855,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-00,setup,read,read,False,2026-06-11T12:44:11.753005
ENT-000046,ID-0040,acct-sal-ID-0040-520855,salesforce,role-sal-001,Modify All Data,True,perm-sal-01-05,contacts,execute,write,False,2026-06-11T12:44:11.753005
ENT-000047,ID-0040,acct-sal-ID-0040-520855,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-04,setup,admin,admin,True,2026-06-11T12:44:11.753005
ENT-000048,ID-0040,acct-sal-ID-0040-520855,salesforce,role-sal-001,Modify All Data,True,perm-sal-03-02,reports,create,write,False,2026-06-11T12:44:11.753005
ENT-000049,ID-0040,acct-git-ID-0040-facec5,github,role-git-000,Owner,True,perm-git-04-02,settings,create,write,False,2026-03-16T12:44:11.753005
ENT-000050,ID-0040,acct-git-ID-0040-facec5,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2026-03-16T12:44:11.753005
ENT-000051,ID-0040,acct-git-ID-0040-facec5,github,role-git-000,Owner,True,perm-git-01-02,repos:public,create,write,False,2026-03-16T12:44:11.753005
ENT-000052,ID-0040,acct-git-ID-0040-facec5,github,role-git-000,Owner,True,perm-git-01-05,repos:public,execute,write,False,2026-03-16T12:44:11.753005
ENT-000053,ID-0040,acct-git-ID-0040-facec5,github,role-git-000,Owner,True,perm-git-02-02,actions,create,write,False,2026-03-16T12:44:11.753005
ENT-000054,ID-0040,acct-aws-ID-0040-2fbde2,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-01-00,ec2:*,read,read,False,2025-09-14T12:44:11.753005
ENT-000055,ID-0040,acct-aws-ID-0040-2fbde2,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-02-02,iam:*,create,write,False,2025-09-14T12:44:11.753005
ENT-000056,ID-0040,acct-aws-ID-0040-2fbde2,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-05-04,kms:*,admin,admin,True,2025-09-14T12:44:11.753005
ENT-000057,ID-0040,acct-aws-ID-0040-2fbde2,aws_iam,role-aws-002,PowerUserAccess,True,perm-aws-02-01,iam:*,write,write,False,2025-09-14T12:44:11.753005
ENT-000058,ID-0041,acct-act-ID-0041-64a614,active_directory,role-act-002,Schema Admin,True,perm-act-01-02,file-server,create,write,False,2025-08-02T12:44:11.753005
ENT-000059,ID-0041,acct-act-ID-0041-64a614,active_directory,role-act-002,Schema Admin,True,perm-act-02-04,exchange,admin,admin,True,2025-08-02T12:44:11.753005
ENT-000060,ID-0041,acct-act-ID-0041-64a614,active_directory,role-act-002,Schema Admin,True,perm-act-02-01,exchange,write,write,False,2025-08-02T12:44:11.753005
ENT-000061,ID-0041,acct-act-ID-0041-64a614,active_directory,role-act-002,Schema Admin,True,perm-act-00-05,domain-controller,execute,write,False,2025-08-02T12:44:11.753005
ENT-000062,ID-0041,acct-git-ID-0041-897e2b,github,role-git-001,Admin,True,perm-git-02-04,actions,admin,admin,True,2026-03-22T12:44:11.753005
ENT-000063,ID-0041,acct-git-ID-0041-897e2b,github,role-git-001,Admin,True,perm-git-03-00,packages,read,read,False,2026-03-22T12:44:11.753005
ENT-000064,ID-0041,acct-git-ID-0041-897e2b,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2026-03-22T12:44:11.753005
ENT-000065,ID-0041,acct-aws-ID-0041-f2bd86,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-05-00,kms:*,read,read,False,2026-03-08T12:44:11.753005
ENT-000066,ID-0041,acct-aws-ID-0041-f2bd86,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-04-01,lambda:*,write,write,False,2026-03-08T12:44:11.753005
ENT-000067,ID-0042,acct-okt-ID-0042-3002e4,okta,role-okt-001,Org Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2025-07-19T12:44:11.753005
ENT-000068,ID-0042,acct-okt-ID-0042-3002e4,okta,role-okt-001,Org Admin,True,perm-okt-04-00,policies,read,read,False,2025-07-19T12:44:11.753005
ENT-000069,ID-0042,acct-okt-ID-0042-3002e4,okta,role-okt-001,Org Admin,True,perm-okt-00-03,sso-apps,delete,admin,True,2025-07-19T12:44:11.753005
ENT-000070,ID-0042,acct-okt-ID-0042-3002e4,okta,role-okt-001,Org Admin,True,perm-okt-01-03,mfa-config,delete,admin,True,2025-07-19T12:44:11.753005
ENT-000071,ID-0042,acct-okt-ID-0042-3002e4,okta,role-okt-001,Org Admin,True,perm-okt-01-00,mfa-config,read,read,False,2025-07-19T12:44:11.753005
ENT-000072,ID-0042,acct-git-ID-0042-256753,github,role-git-000,Owner,True,perm-git-04-02,settings,create,write,False,2026-03-16T12:44:11.753005
ENT-000073,ID-0042,acct-git-ID-0042-256753,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2026-03-16T12:44:11.753005
ENT-000074,ID-0042,acct-git-ID-0042-256753,github,role-git-000,Owner,True,perm-git-01-02,repos:public,create,write,False,2026-03-16T12:44:11.753005
ENT-000075,ID-0042,acct-git-ID-0042-256753,github,role-git-000,Owner,True,perm-git-01-05,repos:public,execute,write,False,2026-03-16T12:44:11.753005
ENT-000076,ID-0042,acct-git-ID-0042-256753,github,role-git-000,Owner,True,perm-git-02-02,actions,create,write,False,2026-03-16T12:44:11.753005
ENT-000077,ID-0042,acct-sal-ID-0042-a5dd4e,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-03,setup,delete,admin,True,2025-11-11T12:44:11.753005
ENT-000078,ID-0042,acct-sal-ID-0042-a5dd4e,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-00,setup,read,read,False,2025-11-11T12:44:11.753005
ENT-000079,ID-0042,acct-sal-ID-0042-a5dd4e,salesforce,role-sal-001,Modify All Data,True,perm-sal-01-05,contacts,execute,write,False,2025-11-11T12:44:11.753005
ENT-000080,ID-0042,acct-sal-ID-0042-a5dd4e,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-04,setup,admin,admin,True,2025-11-11T12:44:11.753005
ENT-000081,ID-0042,acct-sal-ID-0042-a5dd4e,salesforce,role-sal-001,Modify All Data,True,perm-sal-03-02,reports,create,write,False,2025-11-11T12:44:11.753005
ENT-000082,ID-0043,acct-okt-ID-0043-1b3137,okta,role-okt-002,App Admin,True,perm-okt-02-01,user-management,write,write,False,2025-11-04T12:44:11.753005
ENT-000083,ID-0043,acct-okt-ID-0043-1b3137,okta,role-okt-002,App Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2025-11-04T12:44:11.753005
ENT-000084,ID-0043,acct-act-ID-0043-d01c5e,active_directory,role-act-001,Enterprise Admin,True,perm-act-00-02,domain-controller,create,write,False,2025-07-27T12:44:11.753005
ENT-000085,ID-0043,acct-act-ID-0043-d01c5e,active_directory,role-act-001,Enterprise Admin,True,perm-act-01-01,file-server,write,write,False,2025-07-27T12:44:11.753005
ENT-000086,ID-0043,acct-act-ID-0043-d01c5e,active_directory,role-act-001,Enterprise Admin,True,perm-act-00-03,domain-controller,delete,admin,True,2025-07-27T12:44:11.753005
ENT-000087,ID-0043,acct-git-ID-0043-87ca02,github,role-git-001,Admin,True,perm-git-02-04,actions,admin,admin,True,2026-06-02T12:44:11.753005
ENT-000088,ID-0043,acct-git-ID-0043-87ca02,github,role-git-001,Admin,True,perm-git-03-00,packages,read,read,False,2026-06-02T12:44:11.753005
ENT-000089,ID-0043,acct-git-ID-0043-87ca02,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2026-06-02T12:44:11.753005
ENT-000090,ID-0044,acct-okt-ID-0044-00d7e6,okta,role-okt-000,Super Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2025-12-14T12:44:11.753005
ENT-000091,ID-0044,acct-okt-ID-0044-00d7e6,okta,role-okt-000,Super Admin,True,perm-okt-03-00,api-tokens,read,read,False,2025-12-14T12:44:11.753005
ENT-000092,ID-0044,acct-okt-ID-0044-00d7e6,okta,role-okt-000,Super Admin,True,perm-okt-00-00,sso-apps,read,read,False,2025-12-14T12:44:11.753005
ENT-000093,ID-0044,acct-okt-ID-0044-00d7e6,okta,role-okt-000,Super Admin,True,perm-okt-01-02,mfa-config,create,write,False,2025-12-14T12:44:11.753005
ENT-000094,ID-0044,acct-sal-ID-0044-6bee4b,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-03,setup,delete,admin,True,2025-09-05T12:44:11.753005
ENT-000095,ID-0044,acct-sal-ID-0044-6bee4b,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-00,setup,read,read,False,2025-09-05T12:44:11.753005
ENT-000096,ID-0044,acct-sal-ID-0044-6bee4b,salesforce,role-sal-001,Modify All Data,True,perm-sal-01-05,contacts,execute,write,False,2025-09-05T12:44:11.753005
ENT-000097,ID-0044,acct-sal-ID-0044-6bee4b,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-04,setup,admin,admin,True,2025-09-05T12:44:11.753005
ENT-000098,ID-0044,acct-sal-ID-0044-6bee4b,salesforce,role-sal-001,Modify All Data,True,perm-sal-03-02,reports,create,write,False,2025-09-05T12:44:11.753005
ENT-000099,ID-0044,acct-aws-ID-0044-087218,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-05-00,kms:*,read,read,False,2026-04-18T12:44:11.753005
ENT-000100,ID-0044,acct-aws-ID-0044-087218,aws_iam,role-aws-001,IAMFullAccess,True,perm-aws-04-01,lambda:*,write,write,False,2026-04-18T12:44:11.753005
ENT-000101,ID-0044,acct-act-ID-0044-a48158,active_directory,role-act-000,Domain Admin,True,perm-act-01-01,file-server,write,write,False,2025-12-24T12:44:11.753005
ENT-000102,ID-0045,acct-aws-ID-0045-3472a2,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-00-02,s3://prod-data,create,write,False,2026-06-06T12:44:11.753005
ENT-000103,ID-0045,acct-aws-ID-0045-3472a2,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-02-00,iam:*,read,read,False,2026-06-06T12:44:11.753005
ENT-000104,ID-0045,acct-aws-ID-0045-3472a2,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-03-01,rds:prod,write,write,False,2026-06-06T12:44:11.753005
ENT-000105,ID-0045,acct-okt-ID-0045-391d1a,okta,role-okt-002,App Admin,True,perm-okt-02-01,user-management,write,write,False,2025-10-17T12:44:11.753005
ENT-000106,ID-0045,acct-okt-ID-0045-391d1a,okta,role-okt-002,App Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2025-10-17T12:44:11.753005
ENT-000107,ID-0046,acct-act-ID-0046-f73243,active_directory,role-act-001,Enterprise Admin,True,perm-act-00-02,domain-controller,create,write,False,2025-10-05T12:44:11.753005
ENT-000108,ID-0046,acct-act-ID-0046-f73243,active_directory,role-act-001,Enterprise Admin,True,perm-act-01-01,file-server,write,write,False,2025-10-05T12:44:11.753005
ENT-000109,ID-0046,acct-act-ID-0046-f73243,active_directory,role-act-001,Enterprise Admin,True,perm-act-00-03,domain-controller,delete,admin,True,2025-10-05T12:44:11.753005
ENT-000110,ID-0046,acct-aws-ID-0046-bf6b0f,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-00-02,s3://prod-data,create,write,False,2025-09-27T12:44:11.753005
ENT-000111,ID-0046,acct-aws-ID-0046-bf6b0f,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-02-00,iam:*,read,read,False,2025-09-27T12:44:11.753005
ENT-000112,ID-0046,acct-aws-ID-0046-bf6b0f,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-03-01,rds:prod,write,write,False,2025-09-27T12:44:11.753005
ENT-000113,ID-0046,acct-git-ID-0046-3dd368,github,role-git-001,Admin,True,perm-git-02-04,actions,admin,admin,True,2025-09-19T12:44:11.753005
ENT-000114,ID-0046,acct-git-ID-0046-3dd368,github,role-git-001,Admin,True,perm-git-03-00,packages,read,read,False,2025-09-19T12:44:11.753005
ENT-000115,ID-0046,acct-git-ID-0046-3dd368,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2025-09-19T12:44:11.753005
ENT-000116,ID-0046,acct-sal-ID-0046-9a4ba6,salesforce,role-sal-000,System Administrator,True,perm-sal-04-02,setup,create,write,False,2026-05-29T12:44:11.753005
ENT-000117,ID-0046,acct-sal-ID-0046-9a4ba6,salesforce,role-sal-000,System Administrator,True,perm-sal-01-02,contacts,create,write,False,2026-05-29T12:44:11.753005
ENT-000118,ID-0047,acct-sal-ID-0047-f714ad,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-03,setup,delete,admin,True,2026-02-14T12:44:11.753005
ENT-000119,ID-0047,acct-sal-ID-0047-f714ad,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-00,setup,read,read,False,2026-02-14T12:44:11.753005
ENT-000120,ID-0047,acct-sal-ID-0047-f714ad,salesforce,role-sal-001,Modify All Data,True,perm-sal-01-05,contacts,execute,write,False,2026-02-14T12:44:11.753005
ENT-000121,ID-0047,acct-sal-ID-0047-f714ad,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-04,setup,admin,admin,True,2026-02-14T12:44:11.753005
ENT-000122,ID-0047,acct-sal-ID-0047-f714ad,salesforce,role-sal-001,Modify All Data,True,perm-sal-03-02,reports,create,write,False,2026-02-14T12:44:11.753005
ENT-000123,ID-0047,acct-okt-ID-0047-d3b4bb,okta,role-okt-001,Org Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2025-10-25T12:44:11.753005
ENT-000124,ID-0047,acct-okt-ID-0047-d3b4bb,okta,role-okt-001,Org Admin,True,perm-okt-04-00,policies,read,read,False,2025-10-25T12:44:11.753005
ENT-000125,ID-0047,acct-okt-ID-0047-d3b4bb,okta,role-okt-001,Org Admin,True,perm-okt-00-03,sso-apps,delete,admin,True,2025-10-25T12:44:11.753005
ENT-000126,ID-0047,acct-okt-ID-0047-d3b4bb,okta,role-okt-001,Org Admin,True,perm-okt-01-03,mfa-config,delete,admin,True,2025-10-25T12:44:11.753005
ENT-000127,ID-0047,acct-okt-ID-0047-d3b4bb,okta,role-okt-001,Org Admin,True,perm-okt-01-00,mfa-config,read,read,False,2025-10-25T12:44:11.753005
ENT-000128,ID-0047,acct-git-ID-0047-bfafdc,github,role-git-000,Owner,True,perm-git-04-02,settings,create,write,False,2025-09-29T12:44:11.753005
ENT-000129,ID-0047,acct-git-ID-0047-bfafdc,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2025-09-29T12:44:11.753005
ENT-000130,ID-0047,acct-git-ID-0047-bfafdc,github,role-git-000,Owner,True,perm-git-01-02,repos:public,create,write,False,2025-09-29T12:44:11.753005
ENT-000131,ID-0047,acct-git-ID-0047-bfafdc,github,role-git-000,Owner,True,perm-git-01-05,repos:public,execute,write,False,2025-09-29T12:44:11.753005
ENT-000132,ID-0047,acct-git-ID-0047-bfafdc,github,role-git-000,Owner,True,perm-git-02-02,actions,create,write,False,2025-09-29T12:44:11.753005
ENT-000133,ID-0047,acct-act-ID-0047-c8c9d4,active_directory,role-act-000,Domain Admin,True,perm-act-01-01,file-server,write,write,False,2026-05-01T12:44:11.753005
ENT-000134,ID-0048,acct-git-ID-0048-14cd96,github,role-git-000,Owner,True,perm-git-04-02,settings,create,write,False,2025-10-08T12:44:11.753005
ENT-000135,ID-0048,acct-git-ID-0048-14cd96,github,role-git-000,Owner,True,perm-git-04-01,settings,write,write,False,2025-10-08T12:44:11.753005
ENT-000136,ID-0048,acct-git-ID-0048-14cd96,github,role-git-000,Owner,True,perm-git-01-02,repos:public,create,write,False,2025-10-08T12:44:11.753005
ENT-000137,ID-0048,acct-git-ID-0048-14cd96,github,role-git-000,Owner,True,perm-git-01-05,repos:public,execute,write,False,2025-10-08T12:44:11.753005
ENT-000138,ID-0048,acct-git-ID-0048-14cd96,github,role-git-000,Owner,True,perm-git-02-02,actions,create,write,False,2025-10-08T12:44:11.753005
ENT-000139,ID-0048,acct-aws-ID-0048-dfa635,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-00-02,s3://prod-data,create,write,False,2026-05-25T12:44:11.753005
ENT-000140,ID-0048,acct-aws-ID-0048-dfa635,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-02-00,iam:*,read,read,False,2026-05-25T12:44:11.753005
ENT-000141,ID-0048,acct-aws-ID-0048-dfa635,aws_iam,role-aws-000,AdministratorAccess,True,perm-aws-03-01,rds:prod,write,write,False,2026-05-25T12:44:11.753005
ENT-000142,ID-0048,acct-act-ID-0048-c5fa21,active_directory,role-act-001,Enterprise Admin,True,perm-act-00-02,domain-controller,create,write,False,2025-12-14T12:44:11.753005
ENT-000143,ID-0048,acct-act-ID-0048-c5fa21,active_directory,role-act-001,Enterprise Admin,True,perm-act-01-01,file-server,write,write,False,2025-12-14T12:44:11.753005
ENT-000144,ID-0048,acct-act-ID-0048-c5fa21,active_directory,role-act-001,Enterprise Admin,True,perm-act-00-03,domain-controller,delete,admin,True,2025-12-14T12:44:11.753005
ENT-000145,ID-0048,acct-sal-ID-0048-5dd9ef,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-03,setup,delete,admin,True,2026-01-23T12:44:11.753005
ENT-000146,ID-0048,acct-sal-ID-0048-5dd9ef,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-00,setup,read,read,False,2026-01-23T12:44:11.753005
ENT-000147,ID-0048,acct-sal-ID-0048-5dd9ef,salesforce,role-sal-001,Modify All Data,True,perm-sal-01-05,contacts,execute,write,False,2026-01-23T12:44:11.753005
ENT-000148,ID-0048,acct-sal-ID-0048-5dd9ef,salesforce,role-sal-001,Modify All Data,True,perm-sal-04-04,setup,admin,admin,True,2026-01-23T12:44:11.753005
ENT-000149,ID-0048,acct-sal-ID-0048-5dd9ef,salesforce,role-sal-001,Modify All Data,True,perm-sal-03-02,reports,create,write,False,2026-01-23T12:44:11.753005
ENT-000150,ID-0049,acct-sal-ID-0049-380be1,salesforce,role-sal-000,System Administrator,True,perm-sal-04-02,setup,create,write,False,2025-09-07T12:44:11.753005
ENT-000151,ID-0049,acct-sal-ID-0049-380be1,salesforce,role-sal-000,System Administrator,True,perm-sal-01-02,contacts,create,write,False,2025-09-07T12:44:11.753005
ENT-000152,ID-0049,acct-okt-ID-0049-0c6f77,okta,role-okt-000,Super Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2026-05-27T12:44:11.753005
ENT-000153,ID-0049,acct-okt-ID-0049-0c6f77,okta,role-okt-000,Super Admin,True,perm-okt-03-00,api-tokens,read,read,False,2026-05-27T12:44:11.753005
ENT-000154,ID-0049,acct-okt-ID-0049-0c6f77,okta,role-okt-000,Super Admin,True,perm-okt-00-00,sso-apps,read,read,False,2026-05-27T12:44:11.753005
ENT-000155,ID-0049,acct-okt-ID-0049-0c6f77,okta,role-okt-000,Super Admin,True,perm-okt-01-02,mfa-config,create,write,False,2026-05-27T12:44:11.753005
ENT-000156,ID-0049,acct-git-ID-0049-d1011a,github,role-git-001,Admin,True,perm-git-02-04,actions,admin,admin,True,2025-08-10T12:44:11.753005
ENT-000157,ID-0049,acct-git-ID-0049-d1011a,github,role-git-001,Admin,True,perm-git-03-00,packages,read,read,False,2025-08-10T12:44:11.753005
ENT-000158,ID-0049,acct-git-ID-0049-d1011a,github,role-git-001,Admin,True,perm-git-00-03,repos:private,delete,admin,True,2025-08-10T12:44:11.753005
ENT-000159,ID-0050,acct-okt-ID-0050-06802e,okta,role-okt-001,Org Admin,True,perm-okt-00-05,sso-apps,execute,write,False,2026-01-13T12:44:11.753005
ENT-000160,ID-0050,acct-okt-ID-0050-06802e,okta,role-okt-001,Org Admin,True,perm-okt-04-00,policies,read,read,False,2026-01-13T12:44:11.753005
ENT-000161,ID-0050,acct-okt-ID-0050-06802e,okta,role-okt-001,Org Admin,True,perm-okt-00-03,sso-apps,delete,admin,True,2026-01-13T12:44:11.753005
ENT-000162,ID-0050,acct-okt-ID-0050-06802e,okta,role-okt-001,Org Admin,True,perm-okt-01-03,mfa-config,delete,admin,True,2026-01-13T12:44:11.753005
